sheet_name,field_name,definition,recommended_source,notes
players_season_stats,player_name,Player's full name,Basketball-Reference / NBA Stats,Key join field
players_season_stats,season,Season label like 2024-25,Basketball-Reference / NBA Stats,Use a consistent season format
players_season_stats,ts_pct,True shooting percentage,Basketball-Reference / NBA Stats,High-signal efficiency stat
players_season_stats,bpm,Box plus-minus,Basketball-Reference,Advanced impact estimate
team_season_stats,net_rtg,Offensive rating minus defensive rating,NBA Stats / Basketball-Reference,Core team strength measure
team_season_stats,seed,Playoff seed,Basketball-Reference / NBA Stats,Target or output
player_game_logs,plus_minus,Game plus-minus,NBA Stats / Basketball-Reference,Useful for recent form
player_contracts,salary,Annual salary,Basketball-Reference contracts / Spotrac,Economics feature
team_model_features,roster_continuity_pct,Share of minutes from returning players,Derived,Strong stability feature
team_model_features,strength_of_schedule,Difficulty of schedule,Derived / NBA schedule,Useful for context
players_season_stats,g / gs / mp / fg-fga-... / trb / ast / etc.,"Directly-sourced per-game box score stats, full 2025-26 season to date",Basketball-Reference: /leagues/NBA_2026_per_game.html,League-wide table; ~229 players with recorded minutes. A handful of deep-bench/two-way players may be absent due to source page pagination.
players_season_stats,per / ts_pct / usg_pct / bpm / vorp / ws / etc.,"Directly-sourced advanced stats, full 2025-26 season to date",Basketball-Reference: /leagues/NBA_2026_advanced.html,"League-wide table; ~220 of ~246 rostered players captured. A small number of rotation players (e.g. Giannis Antetokounmpo, Jayson Tatum, Domantas Sabonis, Trae Young, Paul George) were not retrievable from this source despite repeated attempts and are left blank in this pass - see notes."
players_season_stats,efg_pct,"Effective field goal %, computed as (FG + 0.5*3P) / FGA","Computed from directly-sourced FG/3P/FGA (standard box-score formula, not a model/forecast)","Included since this is a standard derived box-score stat, not an engineered/forecast feature"
players_season_stats,career_minutes / career_ws / career_vorp / rolling_3y_pts / rolling_3y_ts_pct / age_adjusted_per / decline_flag,Multi-year / engineered / forecast fields,,"Left blank per explicit user instruction: only directly-sourced single-season raw stats were filled; all engineered, rolling, or forecast columns were intentionally left for the user/model to calculate"
team_season_stats,wins / losses / win_pct / seed / final_rank / playoffs_result,Final 2025-26 regular season standings and playoff outcome,Basketball-Reference: /leagues/NBA_2026_standings.html; cross-validated against champsorchumps.us/summary/nba/2026,"All 30 teams. Verified New York Knicks won the 2026 Finals via independent web search, confirming source data accuracy for this future/real-world season"
team_season_stats,off_rtg / def_rtg / net_rtg,"Team offensive/defensive/net rating, full season",Basketball-Reference: /leagues/NBA_2026_ratings.html,All 30 teams
team_season_stats,pts_per_game / fg_pct / 3p_pct / ft_pct / orb / drb / trb / ast / stl / blk / tov,Team per-game box score stats,Basketball-Reference: /leagues/NBA_2026.html (Team Per Game Stats table),All 30 teams
team_season_stats,opp_pts_per_game,Opponent points allowed per game,Basketball-Reference: /leagues/NBA_2026.html (Opponent Per Game Stats table),All 30 teams
team_season_stats,pace / srs,Pace and Simple Rating System,,Left blank - these tables sit further down very long Basketball-Reference pages (Miscellaneous/Expanded Standings) that repeated fetch attempts could not retrieve (content-length truncation); teamrankings.com returned 403 errors
team_season_stats,roster_continuity_pct / salary_total / salary_top_3_share / injury_games_lost / returning_minutes_share,Engineered/derived team roster features,,Left blank per explicit user instruction (derived/engineered columns)
player_game_logs,"game rows for 1 identifiable lead/leading scorer per team, 2025-26 season",Individual game box scores,StatMuse.com (basketball-reference.com/players/.../gamelog/ paths are robots.txt-disallowed and were not fetched),"User requested game logs for the starting 5 of each team where practical. Given fetch-volume constraints, this pass covers one clearly-identifiable lead starter per team (highest-scoring player with GS>=30) rather than all 5 starters x 30 teams (150 fetches). Each player's log is a partial-season slice of ~24-25 games (StatMuse's default display window), consistent with the user's guidance that 'one page fetch is fine' beyond the highest-priority players. Expanding to the remaining 4 starters per team was not done in this pass."
player_contracts,salary_rank 1-55 (top-paid players only),2025-26 season salary,"hoopsrumors.com, 'NBA's Top 50 Highest-Paid Players For 2025/26' (dated article, published Sept 2025)","Scope reduced from full-league to ~top 55 players. Basketball-Reference /contracts/ pages, hoopshype.com, spotrac.com, and espn.com salary pages were all attempted and failed (season-rollover showing 2026-27 as 'current' column, robots.txt blocks, 403 errors, stale cached data, or empty JS-rendered content) - this dated news article was the only reliable full-figure source found for actual 2025-26 salaries."
player_contracts,contract_year / contract_total / guaranteed / option_type / cap_hit / signed_date / free_agent_year / salary_rank_on_team,Contract structure detail fields,,Left blank - not available from the salary-only source used; would require Spotrac/BR contract pages which were inaccessible this pass
team_roster_context,player_name / player_id / age / pos / games_played / salary,"Roster composition, reshaped from players_season_stats + player_contracts","Basketball-Reference (stats) + hoopsrumors.com (salary, top-55 players only)",salary is populated only for players in the top-55 contracts list; all other players have a blank salary cell
team_roster_context,minutes_share / usage_share / starter / injured_games / efficiency_rank / lineup_role / returning_from_prev_season,Engineered/derived roster context fields,,Left blank per explicit user instruction (derived/engineered columns)
team_model_features,team_net_rtg_prev_season / team_off_rtg_prev_season / team_def_rtg_prev_season,"2024-25 (prior season) team ratings, direct pass-through",Basketball-Reference: /leagues/NBA_2025_ratings.html,"All 30 teams; this is the only team_model_features column populated, since every other column in this sheet is an engineered/composite/forecast feature"
team_model_features,"all other columns (target_wins, predicted_*, avg_age, *_index, salary_total, strength_of_schedule, pace_prev_season, etc.)","Engineered, composite, and forecast-target fields",,Left blank per explicit user instruction: only directly-sourced raw pass-through values were filled; every computed/aggregated/forecast column was intentionally left for the user to calculate
